slice_name,n_samples,ess,ess_ratio,valid_ess,pareto_kappa,valid_tails,control_pvalue,valid_control,sign_consistent,overall_valid,snips_delta,delta_range
python,2000,1688.1338375189478,0.8440669187594739,True,0.2510198341338072,True,0.0,False,True,False,0.021393707452877164,0.835214774455451
typescript,2000,1684.6820685721393,0.8423410342860697,True,0.23918976015630744,True,0.0,False,True,False,0.023469894646377387,0.8697027251500309
javascript,2000,1695.9694228050464,0.8479847114025232,True,0.26076709811715026,True,0.0,False,True,False,0.02510489596571086,0.825082806508128
all_languages,6000,5066.118818922238,0.8443531364870396,True,0.24714642438821707,True,0.0,False,True,False,0.02334586113424919,0.8436785393589807
