path,sha256,reason,first_seen_commit,scanned_at
"dist/gemma-migration/migration-orchestrator.js","529f35dccaaaee4ddbefadddaa434940ae98a6bdfd365e57fb66df606d650c85","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.113Z"
"dist/mcp/core/learned-reranker.js","ee3f511fa1aff7732ce9692fcc13e001259c71942fdd550baaff2eeeb5d38c5b","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.117Z"
"dist/raptor/benchmark-comparison.d.ts","2a76b511902369c74a5f42ac73eb7cdb0b8bc523f49b1d9683a2f2dfa5f78b36","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.121Z"
"dist/raptor/benchmark-comparison.js","cc601a2067ac2791860dd0af0ceb4787815c88d28ee400b49cd9053d9975a463","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.121Z"
"dist/raptor/embedding-bakeoff.d.ts","b209fd2f6615d559b484ee7d92fcb9f7ea0b4c9292d3f078d8a4c73b240117a3","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.122Z"
"dist/raptor/embedding-bakeoff.js","2fbd502f4fc1a08e61ebee99e2bfefd86b0b97e6588df5d0c0a3d2c2acdcfc76","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.122Z"
"dist/raptor/embeddings.d.ts","dea14cfac1fc3a9a27e65de4996c708f1273e6f8cd5bc00744b27b4f27cbd129","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.123Z"
"dist/raptor/embeddings.js","35014ccc1011fca12b874c6d79b72346809e3d070e7c830411066f1b09c043b0","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.123Z"
"dist/raptor/extractor.js","14175f46385c2cec3fa644ec257dad3e34e751305e4f4b8d935164f9f53f5653","Content contains suspicious pattern: "mock"","TBD","2025-09-06T14:49:24.123Z"
"dist/raptor/production/final-production-promotion-orchestrator.js","93535974923a2fed542b45eaa160d40d41277de1441bff76748586c701894d0d","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.126Z"
"dist/raptor/production/paired-statistical-validation.js","bba884e556f1dd5d6b0f7b9b5a51dbfbfceb72d3ae4e7448c7185293895fc762","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.127Z"
"dist/raptor/production/production-orchestrator.d.ts","88d1764b272bd28f7405b864eb95d4de5b462a8dd0139a413a94e32e723960d2","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.127Z"
"dist/raptor/production/production-orchestrator.js","2caa384d23b9b0f7943cc5881b85c2228257373d60f083ed3646d05d87bb3472","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.127Z"
"dist/raptor/production/risk-spend-roi-system.d.ts","e8c68c36ea97cc9214141f25d24fb068c85c145842539dd20221f0aeae57b9ce","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.127Z"
"dist/raptor/production/risk-spend-roi-system.js","4d2531c25073cdd0bf29a5bb1471e2c64495934e91061e048894ba169989bc4e","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.127Z"
"dist/scripts/benchmark/suite-runner.js","c989c455dc47090edf1f590efe3530f0b5a41b6483d6a86eb3f2e36d88115b12","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.133Z"
"dist/systems/adversarial-durability.js","fc8540312b48b75be052315bde913b00e7edf17e7e2234d08e5222f7bdcea080","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.136Z"
"dist/validation/counterfactual-replay.d.ts","61d1c888c66b04421d5faf8d9f96a2a3b71156a696d460394cf386a89e8ad699","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.139Z"
"dist/validation/counterfactual-replay.js","e3b2b5edcedeabf657ce1a19a04f59377c3b044b93bcb6c6de7286fb13373a09","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.140Z"
"docs/claude-reports/DEPLOYMENT.md","dc20912af329bb38ad4060ea41929498ec63415b5c136dc6dddc1370820a2951","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.142Z"
"mock-server.js","ff9a7cfc9d85afd1a81fe87b6b6747dbedd0a7f854b59f6e34f7b359dc9cfe36","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.144Z"
"precision-optimization-demo.ts","ec22bc58e4c828b7155e4592a21b5f4d4aa51294737957f6b93a031089af52be","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.146Z"
"results/analysis/ablation_analysis.json","0b71e0756cad63281537ffbb821c3b62dc12287268deb83a2620581883709cec","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.146Z"
"results/analysis/canary_promotion_plan.json","ccc8691784991f86e2ea53e14e8f33cb5fb5585997e10b7eeb9b4557a73f9f98","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/baseline/baseline_config_fingerprint.json","d7dc8beac70cf30e78ab02d03f93d7abe40956eda55f7e72159fd7dc9267c69f","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/baseline/baseline_key_numbers.json","ddd265eb8e43bb36f23fc876653bd09a7ab05fb8a21aa73630f7ce58a288fa76","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/baseline/baseline_metrics.json","8dc8444c7a2f23fc85a6b77e02092f08aae8f62df765f48cc7bffdbb7538afbe","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/phase1/phase1_gate_validation.json","4bd59d5a369432d17d571a757be04651c69fce07ed137cb01f050743b57eb027","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/phase1/phase1_results.json","22fb952f2b5c5e0a565a8eec9084f1fdfdb4453f212a7b6726d3d80bcf8ecd0c","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/phase1/phase1_smoke_request.json","e8c64973bd037ce783eb2ea5ce9006be5aca6af5f8ff3f2dedbec1d9d3ac4f77","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/phase2/phase2_gate_validation.json","d729c846da6231095cc0046bd4bb00790fcf856ed5cf428bf1bcf2c9bbbfa983","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"results/phase2/phase2_results.json","b22d57956117406082170c379a7c90b5286a9b85899c130045ac4dccef107dee","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.147Z"
"run-anchor-smoke-benchmark.js","caca287155f93f9b16d7141f29ee89a09441c07619a4929d9ed9078749c5c568","Content contains suspicious pattern: span_error_reason.*["']MOCK_RESULT["']","TBD","2025-09-06T14:49:24.147Z"
"run-anchor-smoke-benchmark.js","caca287155f93f9b16d7141f29ee89a09441c07619a4929d9ed9078749c5c568","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.147Z"
"run-anchor-smoke-benchmark.js","caca287155f93f9b16d7141f29ee89a09441c07619a4929d9ed9078749c5c568","Content contains suspicious pattern: MOCK_RESULT","TBD","2025-09-06T14:49:24.147Z"
"run-anchor-smoke-benchmark.js","caca287155f93f9b16d7141f29ee89a09441c07619a4929d9ed9078749c5c568","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.147Z"
"span-validation-audit.js","c1ad0e1f7017013176528f46686d738ccb0fa420df354a2386b11a574a032f32","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.148Z"
"src/__tests__/lsp-performance.test.ts","c85535f1078c0916109595b4c45a1080dd380ba152a10ad9fcfb1dc071f4a6d3","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.151Z"
"src/__tests__/performance-regression.test.ts","58f66a098fdac742c5898fd66157ec8b028540a9c0d241a6157264593bddd659","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.152Z"
"src/benchmark/__tests__/suite-runner.test.ts","c3c7e26a39e42c7470518548cb5e3898c6bf8decb156aaba1fcae785dda00347","Content contains suspicious pattern: mock.*generator","TBD","2025-09-06T14:49:24.157Z"
"src/benchmark/ground-truth-builder.ts","a240d10916d50015f9345a845b97e05eb9783e9e5a82299506ac9184c83299f1","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.162Z"
"src/benchmark/lsp-serena-comparison.ts","c2f815ecacecaca1ea9ee3f115037fc3eca99c82d110eec9e230b1e7ba65dccd","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.163Z"
"src/benchmark/storyviz-ground-truth.json","6bef5fc9825793f3e861833bde4cd6a7316358d4981de65ae7a4c0730f4d3927","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.168Z"
"src/benchmark/suite-runner.ts","8f9a8b10e7f739b6ff1d121b0e67f9f358c1716b3ffd0453afdbcb4947178bac","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.168Z"
"src/benchmark/test-data-generator.ts","2e7abd6b0e90e99d5d15b28b261738c47988e02b49f5008efbe1809232af96ea","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.168Z"
