run_id,suite,scenario,system,version,cfg_hash,corpus,lang,query_id,k,sla_ms,lat_ms,hit@k,ndcg@10,recall@50,success@10,ece,p50,p95,p99,sla_recall50,diversity10,core10,why_mix_semantic,why_mix_struct,why_mix_lex,memory_gb,qps150x
4cd9787d,protocol_v2_fast,symbol,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,2eacefd9,10,150,5.249624,0,0,0,0,0,4.1996992,6.299548799999999,7.874435999999999,0,0,0,0.4,0.3,0.3,4,190
4cd9787d,protocol_v2_fast,symbol,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,8eb58dd5,10,150,4.826905,0,0,0,0,0,3.861524,5.792286,7.2403575,0,0,0,0.4,0.3,0.3,4,207
4cd9787d,protocol_v2_fast,symbol,grep,unknown,ce7b2437,swebench_sample,python,2eacefd9,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,symbol,grep,unknown,ce7b2437,swebench_sample,typescript,8eb58dd5,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,symbol,find,unknown,7c93afa8,swebench_sample,python,2eacefd9,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,symbol,find,unknown,7c93afa8,swebench_sample,typescript,8eb58dd5,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,symbol,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,2eacefd9,10,150,6.461388,1,0.85,0.5,1,0.5,5.169110400000001,7.7536656,9.692082000000001,0.5,0.3,0.3,0.4,0.3,0.3,4,154
4cd9787d,protocol_v2_fast,symbol,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,8eb58dd5,10,150,3.079552,0,0,0,0,0,2.4636416000000003,3.6954624,4.619328,0,0,0,0.4,0.3,0.3,4,324
4cd9787d,protocol_v2_fast,symbol,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,2eacefd9,10,150,0.039694,0,0,0,0,0,0.031755200000000004,0.047632799999999996,0.059541,0,0,0,0.4,0.3,0.3,4,25192
4cd9787d,protocol_v2_fast,symbol,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,8eb58dd5,10,150,0.020268,0,0,0,0,0,0.0162144,0.024321600000000002,0.030402000000000002,0,0,0,0.4,0.3,0.3,4,49338
4cd9787d,protocol_v2_fast,symbol,lens,lens-v2.0,759023b0,swebench_sample,python,2eacefd9,10,150,7.877995,0,0,0,0,0,6.302396000000001,9.453594,11.816992500000001,0,0,0,0.4,0.3,0.3,4,126
4cd9787d,protocol_v2_fast,symbol,lens,lens-v2.0,759023b0,swebench_sample,typescript,8eb58dd5,10,150,6.13004,0,0,0,0,0,4.904032000000001,7.3560479999999995,9.19506,0,0,0,0.4,0.3,0.3,4,163
4cd9787d,protocol_v2_fast,structural_pattern,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,46e67929,10,150,4.724716,0,0,0,0,0,3.7797728,5.6696592,7.087073999999999,0,0,0,0.4,0.3,0.3,4,211
4cd9787d,protocol_v2_fast,structural_pattern,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,885c6c58,10,150,4.74403,0,0,0,0,0,3.7952240000000006,5.692836000000001,7.116045000000001,0,0,0,0.4,0.3,0.3,4,210
4cd9787d,protocol_v2_fast,structural_pattern,grep,unknown,ce7b2437,swebench_sample,python,46e67929,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,structural_pattern,grep,unknown,ce7b2437,swebench_sample,typescript,885c6c58,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,structural_pattern,find,unknown,7c93afa8,swebench_sample,python,46e67929,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
